Step,Action,Details
1,Create Resource Group,Use Azure Portal or CLI to create a resource group
2,Create Storage Account,Create a storage account for CSV output
3,Create SQL Database,Ensure your SQL DB and table exist
4,Create Logic App,Go to Azure Portal and create a Logic App (Consumption)
5,Add Trigger,Use Recurrence trigger (e.g., every 1 hour)
6,Add SQL Connector,Use 'Get rows (V2)' from Azure SQL
7,Configure Query,Select table or write custom query
8,Add Data Operation,Use 'Create CSV table' action
9,Add Storage Connector,Use 'Create blob' action
10,Configure Blob,Provide container name and file name (.csv)
11,Test Logic App,Run manually and verify CSV in storage
